Stage,Task,StartTime,EndTime,Duration,Outlier
10.0,4.0,2017-06-09T20:10:54.000-04:00,2017-06-09T20:10:54.000-04:00,0.0,false
24.0,0.0,2017-06-09T20:10:57.000-04:00,2017-06-09T20:10:57.000-04:00,0.0,false
27.0,21.0,2017-06-09T20:11:09.000-04:00,2017-06-09T20:11:09.000-04:00,0.0,false
27.0,39.0,2017-06-09T20:11:09.000-04:00,2017-06-09T20:11:09.000-04:00,0.0,false
0.0,4.0,2017-06-09T20:10:45.000-04:00,2017-06-09T20:10:48.000-04:00,3.0,true
17.0,2.0,2017-06-09T20:10:55.000-04:00,2017-06-09T20:10:55.000-04:00,0.0,false
7.0,3.0,2017-06-09T20:10:53.000-04:00,2017-06-09T20:10:54.000-04:00,1.0,false
26.0,19.0,2017-06-09T20:11:08.000-04:00,2017-06-09T20:11:08.000-04:00,0.0,false
29.0,4.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
27.0,37.0,2017-06-09T20:11:09.000-04:00,2017-06-09T20:11:09.000-04:00,0.0,false
28.0,3.0,2017-06-09T20:11:09.000-04:00,2017-06-09T20:11:10.000-04:00,1.0,false
23.0,2.0,2017-06-09T20:10:56.000-04:00,2017-06-09T20:10:56.000-04:00,0.0,false
26.0,38.0,2017-06-09T20:11:08.000-04:00,2017-06-09T20:11:08.000-04:00,0.0,false
24.0,82.0,2017-06-09T20:10:57.000-04:00,2017-06-09T20:10:58.000-04:00,1.0,false
29.0,29.0,2017-06-09T20:11:11.000-04:00,2017-06-09T20:11:11.000-04:00,0.0,false
7.0,4.0,2017-06-09T20:10:53.000-04:00,2017-06-09T20:10:54.000-04:00,1.0,false
28.0,0.0,2017-06-09T20:11:09.000-04:00,2017-06-09T20:11:10.000-04:00,1.0,false
13.0,2.0,2017-06-09T20:10:55.000-04:00,2017-06-09T20:10:55.000-04:00,0.0,false
2.0,1.0,2017-06-09T20:10:52.000-04:00,2017-06-09T20:10:52.000-04:00,0.0,false
28.0,8.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
29.0,9.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
16.0,4.0,2017-06-09T20:10:55.000-04:00,2017-06-09T20:10:55.000-04:00,0.0,false
28.0,35.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
1.0,0.0,2017-06-09T20:10:52.000-04:00,2017-06-09T20:10:52.000-04:00,0.0,false
26.0,17.0,2017-06-09T20:11:08.000-04:00,2017-06-09T20:11:08.000-04:00,0.0,false
28.0,6.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
14.0,4.0,2017-06-09T20:10:55.000-04:00,2017-06-09T20:10:55.000-04:00,0.0,false
27.0,33.0,2017-06-09T20:11:09.000-04:00,2017-06-09T20:11:09.000-04:00,0.0,false
28.0,37.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
29.0,17.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:11.000-04:00,1.0,false
28.0,18.0,2017-06-09T20:11:10.000-04:00,2017-06-09T20:11:10.000-04:00,0.0,false
26.0,10.0,2017-06-09T20:11:08.000-04:00,2017-06-09T20:11:08.000-04:00,0.0,false
27.0,6.0,2017-06-09T20:11:08.000-04:00,2017-06-09T20:11:09.000-04:00,1.0,false
12.0,2.0,2017-06-09T20:10:54.000-04:00,2017-06-09T20:10:55.000-04:00,1.0,false
20.0,0.0,2017-06-09T20:10:56.000-04:00,2017-06-09T20:10:56.000-04:00,0.0,false
26.0,27.0,2017-06-09T20:11:08.000-04:00,2017-06-09T20:11:08.000-04:00,0.0,false
11.0,1.0,2017-06-09T20:10:54.000-04:00,2017-06-09T20:10:54.000-04:00,0.0,false
24.0,4.0,2017-06-09T20:10:57.000-04:00,2017-06-09T20:10:57.000-04:00,0.0,false
8.0,3.0,2017-06-09T20:10:54.000-04:00,2017-06-09T20:10:54.000-04:00,0.0,false
9.0,2.0,2017-06-09T20:10:54.000-04:00,2017-06-09T20:10:54.000-04:00,0.0,false
